,Entity,Handle,Level,Layer,LvlDesc,geometry,x,y
0,Complex Shape,7c4,4,cameratoezicht vlakken II,,"POLYGON ((6.562151020544509 53.22061838653552, 6.562085317383604 53.22059685848531, 6.561868839695479 53.22083978303206, 6.561934846172329 53.22086097112362, 6.562151020544509 53.22061838653552))",6.562009998183282,53.22072899738872
1,Complex Shape,7c8,4,cameratoezicht vlakken II,,"POLYGON ((6.561001729253205 53.22062038117672, 6.560935151315276 53.22059950838936, 6.560935151315276 53.22059950838936, 6.560694899584952 53.22094233592912, 6.560763899112763 53.2209597539687, 6.561001729253205 53.22062038117672))",6.560848862470983,53.22078047888951
2,Complex Shape,7cc,4,cameratoezicht vlakken II,,"POLYGON ((6.561240388703484 53.22031998346001, 6.561174383007456 53.22029870152983, 6.56096604910799 53.22055850929332, 6.561032432246694 53.22057932100793, 6.561240388703484 53.22031998346001))",6.561103303190724,53.22043912574593
3,Complex Shape,7d1,4,cameratoezicht vlakken II,,"POLYGON ((6.558499704145416 53.21939575662704, 6.558459999637038 53.21938123726535, 6.558426239718859 53.2193688917358, 6.558387293791267 53.21940725753765, 6.558417551531612 53.21941832237396, 6.558461389292754 53.21943435321201, 6.558703444599413 53.21951898202257, 6.559248383832782 53.21968659950991, 6.559998249796983 53.2199223344218, 6.560040134460694 53.21993550146336, 6.560064535180346 53.21994329404693, 6.56061503518077 53.22011909896904, 6.561098268170404 53.22027416008179, 6.561174383007456 53.22029870152983, 6.561240388703484 53.22031998346001, 6.561293602470917 53.22033714090225, 6.56190313227096 53.22053716409576, 6.562085317383604 53.22059685848531, 6.562151020544509 53.22061838653552, 6.562586946803528 53.22076121903066, 6.563023279257482 53.22089456066806, 6.563113716818394 53.22092093961113, 6.56314643599722 53.22088053277758, 6.563056623941846 53.22085433628823, 6.562621870121251 53.22072147710514, 6.56193902118783 53.22049773860462, 6.561329269982846 53.22029764280369, 6.561133626066541 53.22023456217052, 6.56065026158522 53.22007945890135, 6.560075080444027 53.21989577188459, 6.559282818955666 53.21964670938896, 6.558739378028267 53.21947955280837, 6.558499704145416 53.21939575662704))",6.560766465250554,53.22014647962707
4,Complex Shape,7d7,4,cameratoezicht vlakken II,,"POLYGON ((6.559752818338721 53.2201749951429, 6.559817728347038 53.22019737105913, 6.560064535180346 53.21994329404693, 6.560064535180346 53.21994329404693, 6.560040134460694 53.21993550146336, 6.559998249796983 53.2199223344218, 6.559752818338721 53.2201749951429))",6.559908378017847,53.22005949423229
5,Complex Shape,7dd,4,cameratoezicht vlakken II,,"POLYGON ((6.558170921078232 53.21959299210778, 6.558203268099661 53.21960553151383, 6.558203268099661 53.21960553151383, 6.558417551531612 53.21941832237396, 6.558417551531612 53.21941832237396, 6.558387293791267 53.21940725753765, 6.558356877936492 53.21939199042845, 6.558356877936492 53.21939199042845, 6.558140365152584 53.2195811470098, 6.558170921078232 53.21959299210778))",6.558279065447013,53.21949956983814
6,Complex Shape,7e4,4,cameratoezicht vlakken II,,"POLYGON ((6.560793157647311 53.22055499189506, 6.560935151315276 53.22059950838936, 6.560935151315276 53.22059950838936, 6.561001729253205 53.22062038117672, 6.561032432246694 53.22057932100793, 6.56096604910799 53.22055850929332, 6.560827548027772 53.22051508776791, 6.560625778096581 53.22045306458018, 6.559914145275261 53.22023060799987, 6.559817728347038 53.22019737105913, 6.559752818338721 53.2201749951429, 6.559399031235325 53.22005303586983, 6.558620119822851 53.21976712371789, 6.558203268099661 53.21960553151383, 6.558203268099661 53.21960553151383, 6.558170921078232 53.21959299210778, 6.558130309972396 53.21963073091387, 6.558580281365013 53.2198051620976, 6.559360856714077 53.22009168511278, 6.559878200754635 53.22027002602473, 6.560591427643655 53.22049298096669, 6.560793157647311 53.22055499189506))",6.559567249052643,53.22012317916774
7,Complex Shape,7eb,4,cameratoezicht vlakken II,,"POLYGON ((6.558426239718859 53.2193688917358, 6.558459999637038 53.21938123726535, 6.558752344982374 53.21912582540228, 6.558687199085565 53.2191034011222, 6.55839912718222 53.21935507909937, 6.55839912718222 53.21935507909937, 6.558426239718859 53.2193688917358))",6.558574328095245,53.21924177746876
8,Complex Shape,7f1,3,cameratoezicht vlakken I,,"POLYGON ((6.558687199085565 53.2191034011222, 6.558752344982374 53.21912582540228, 6.558794869181996 53.21908867319097, 6.558465126020928 53.21897516966716, 6.557949775627813 53.21878897819375, 6.557911802475912 53.21882769602777, 6.558107181333734 53.21889828512717, 6.558113193065953 53.21890045711784, 6.55817185135952 53.2189216498617, 6.5584272017509 53.2190139052128, 6.558687199085565 53.2191034011222))",6.558350973552913,53.21895904495147
9,Complex Shape,7f9,3,cameratoezicht vlakken I,,"POLYGON ((6.558015116280797 53.21915892551428, 6.558155270188583 53.21927217822903, 6.558223154919224 53.21931868778026, 6.558290121323339 53.21935848216459, 6.558356877936492 53.21939199042845, 6.558387293791267 53.21940725753765, 6.558426239718859 53.2193688917358, 6.55839912718222 53.21935507909937, 6.55839912718222 53.21935507909937, 6.558340643062512 53.21932528397971, 6.558277706472923 53.21928788431476, 6.558213560400646 53.21924393625191, 6.558074387639055 53.21913147647938, 6.5580739445751 53.21913114537602, 6.5580739445751 53.21913114537602, 6.558065473946539 53.21912367514054, 6.558059069608315 53.21911549731325, 6.558054891467976 53.21910681608477, 6.558053043847328 53.21909784821501, 6.558053572877773 53.21908881762087, 6.558056465348591 53.21907994978511, 6.558056465348591 53.21907994978511, 6.55817185135952 53.2189216498617, 6.558113193065953 53.21890045711784, 6.558107181333734 53.21889828512717, 6.557986034855325 53.21906448757881, 6.557985391417044 53.21906576394112, 6.557979598782683 53.21908181496004, 6.557978168327735 53.21909821575078, 6.557981137060667 53.2191145420517, 6.557988428190022 53.2191303715276, 6.55799985311037 53.21914529469488, 6.558015116280797 53.21915892551428))",6.558148171784675,53.21916502303039
10,Complex Shape,804,3,cameratoezicht vlakken I,,"POLYGON ((6.557519985936473 53.21922718860808, 6.557520098976781 53.21922707637228, 6.557911802475912 53.21882769602777, 6.557949775627813 53.21878897819375, 6.55788564387457 53.21876580769829, 6.557455811270719 53.2192040642275, 6.557438636419832 53.21922475363506, 6.557427211865989 53.21924682840041, 6.557421833348005 53.21926971710811, 6.557422640101148 53.21929282727246, 6.55742961125199 53.21931556067427, 6.557442566357722 53.21933732884624, 6.557461170076061 53.21935756830571, 6.557484940844991 53.21937575514098, 6.557513263347722 53.21939141857322, 6.55751459817836 53.21939204550457, 6.558130309972396 53.21963073091387, 6.558170921078232 53.21959299210778, 6.558140365152584 53.2195811470098, 6.557558130224079 53.21935543911842, 6.557538948782658 53.21934463167129, 6.557522882836616 53.21933212727588, 6.557510343223305 53.21931824569595, 6.55750165060333 53.21930334191251, 6.557497027260887 53.21928779704605, 6.55749659141985 53.21927200861049, 6.557500354220998 53.21925638034789, 6.557508219437584 53.21924131190386, 6.557519985936473 53.21922718860808))",6.557722663469004,53.219237668751056
